date,code,pcs_m,quantity,location
2017-11-26,G131,0.01,1,bodensee_steinach_dolder_a
2017-11-26,G67,0.1,9,bodensee_steinach_dolder_a
2017-11-26,G147,0.01,1,bodensee_steinach_dolder_a
2017-11-26,G7,0.01,1,bodensee_steinach_dolder_a
2017-11-26,G80,0.04,4,bodensee_steinach_dolder_a
2017-11-26,G153,0.03,3,bodensee_steinach_dolder_a
2017-11-26,G21,0.03,3,bodensee_steinach_dolder_a
2017-11-26,G89,0.02,2,bodensee_steinach_dolder_a
2017-11-26,G175,0.15,14,bodensee_steinach_dolder_a
2017-11-26,G25,0.01,1,bodensee_steinach_dolder_a
2017-11-26,G101,0.04,4,bodensee_steinach_dolder_a
2017-11-26,G204,0.02,2,bodensee_steinach_dolder_a
2017-11-26,G31,0.01,1,bodensee_steinach_dolder_a
2017-11-26,G126,0.01,1,bodensee_steinach_dolder_a
2017-11-26,G211,0.02,2,bodensee_steinach_dolder_a
2017-11-26,G66,0.02,2,bodensee_steinach_dolder_a
2017-11-26,G137,0.01,1,bodensee_steinach_dolder_a
2017-11-26,G4,0.08,7,bodensee_steinach_dolder_a
2017-11-26,G79,0.09,8,bodensee_steinach_dolder_a
2017-11-26,G152,0.01,1,bodensee_steinach_dolder_a
2017-11-26,G10,0.07,6,bodensee_steinach_dolder_a
2017-11-26,G83,0.02,2,bodensee_steinach_dolder_a
2017-11-26,G171,0.02,2,bodensee_steinach_dolder_a
2017-11-26,G24,0.02,2,bodensee_steinach_dolder_a
2017-11-26,G100,0.02,2,bodensee_steinach_dolder_a
2017-11-26,G200,0.11,10,bodensee_steinach_dolder_a
2017-11-26,G30,0.27,25,bodensee_steinach_dolder_a
2017-11-26,G125,0.01,1,bodensee_steinach_dolder_a
2017-11-26,G210,0.03,3,bodensee_steinach_dolder_a
2017-11-26,G50,0.01,1,bodensee_steinach_dolder_a
2017-11-26,G134,0.03,3,bodensee_steinach_dolder_a
2017-11-26,G3,0.08,7,bodensee_steinach_dolder_a
2017-11-26,G71,0.01,1,bodensee_steinach_dolder_a
2017-11-26,G151,0.02,2,bodensee_steinach_dolder_a
2017-11-26,G8,0.01,1,bodensee_steinach_dolder_a
2017-11-26,G82,0.04,4,bodensee_steinach_dolder_a
2017-11-26,G156,0.04,4,bodensee_steinach_dolder_a
2017-11-26,G23,0.02,2,bodensee_steinach_dolder_a
2017-11-26,G90,0.02,2,bodensee_steinach_dolder_a
2017-11-26,G178,0.02,2,bodensee_steinach_dolder_a
2017-10-27,G175,0.1,9,bodensee_steinach_dolder_a
2017-10-27,G33,0.02,2,bodensee_steinach_dolder_a
2017-10-27,G67,0.12,11,bodensee_steinach_dolder_a
2017-10-27,G198,0.02,2,bodensee_steinach_dolder_a
2017-10-27,G100,0.01,1,bodensee_steinach_dolder_a
2017-10-27,G210,0.01,1,bodensee_steinach_dolder_a
2017-10-27,G125,0.02,2,bodensee_steinach_dolder_a
2017-10-27,G7,0.07,6,bodensee_steinach_dolder_a
2017-10-27,G145,0.01,1,bodensee_steinach_dolder_a
2017-10-27,G23,0.02,2,bodensee_steinach_dolder_a
2017-10-27,G156,0.04,4,bodensee_steinach_dolder_a
2017-10-27,G30,0.1,9,bodensee_steinach_dolder_a
2017-10-27,G50,0.02,2,bodensee_steinach_dolder_a
2017-10-27,G182,0.01,1,bodensee_steinach_dolder_a
2017-10-27,G82,0.03,3,bodensee_steinach_dolder_a
2017-10-27,G208,0.05,5,bodensee_steinach_dolder_a
2017-10-27,G124,0.03,3,bodensee_steinach_dolder_a
2017-10-27,G4,0.02,2,bodensee_steinach_dolder_a
2017-10-27,G137,0.03,3,bodensee_steinach_dolder_a
2017-10-27,G13,0.01,1,bodensee_steinach_dolder_a
2017-10-27,G153,0.02,2,bodensee_steinach_dolder_a
2017-10-27,G27,0.08,7,bodensee_steinach_dolder_a
2017-10-27,G178,0.03,3,bodensee_steinach_dolder_a
2017-10-27,G37,0.02,2,bodensee_steinach_dolder_a
2017-10-27,G79,0.04,4,bodensee_steinach_dolder_a
2017-10-27,G200,0.09,8,bodensee_steinach_dolder_a
2017-10-27,G101,0.02,2,bodensee_steinach_dolder_a
2017-10-27,G3,0.1,9,bodensee_steinach_dolder_a
2017-10-27,G126,0.01,1,bodensee_steinach_dolder_a
