location,date,total
lorze_baar_blarere,2017-12-23,0.33
lorze_baar_blarere,2018-01-20,0.51
lorze_baar_blarere,2018-02-10,0.45
lorze_baar_blarere,2018-03-10,1.35
aare_kehrsatz_stolten,2017-04-07,0.16
aare_kehrsatz_stolten,2017-05-03,0.19
aare_kehrsatz_stolten,2017-06-14,0.19
aare_kehrsatz_stolten,2017-07-03,0.1
aare_kehrsatz_stolten,2017-08-25,0.1
aare_kehrsatz_stolten,2017-09-21,0.18
aare_kehrsatz_stolten,2017-10-16,0.04
aare_kehrsatz_stolten,2017-11-08,0.15
aare_kehrsatz_stolten,2018-01-17,0.06
aare_kehrsatz_stolten,2018-02-28,0.02
aare_kehrsatz_stolten,2018-03-15,0.04
mammern-swisslitterreport,2017-04-08,0.22
mammern-swisslitterreport,2017-06-15,0.59
mammern-swisslitterreport,2017-07-24,0.34
mammern-swisslitterreport,2017-08-26,0.59
mammern-swisslitterreport,2017-10-30,0.15
mammern-swisslitterreport,2017-11-04,0.06
mammern-swisslitterreport,2018-01-01,0.03
mammern-swisslitterreport,2018-02-03,0.06
pfaffner_rothrist_ischik,2017-04-08,2.7
pfaffner_rothrist_ischik,2017-05-30,1.13
pfaffner_rothrist_ischik,2017-06-22,0.49
pfaffner_rothrist_ischik,2017-07-17,0.35
pfaffner_rothrist_ischik,2017-08-28,0.64
pfaffner_rothrist_ischik,2017-09-24,0.28
pfaffner_rothrist_ischik,2017-10-07,0.36
pfaffner_rothrist_ischik,2017-11-24,0.49
pfaffner_rothrist_ischik,2017-12-27,0.35
toss_winterthur-2,2017-04-08,0.7
toss_winterthur-2,2017-05-13,0.06
toss_winterthur-2,2017-06-24,2.32
toss_winterthur-2,2017-08-05,1.45
toss_winterthur-2,2017-09-30,0.11
berlingen-swisslitterreport,2017-04-08,1.21
zulg_steffisburg_schmassmanne,2017-04-08,0.67
zulg_steffisburg_schmassmanne,2017-05-06,0.36
zulg_steffisburg_schmassmanne,2017-06-10,0.24
zulg_steffisburg_schmassmanne,2017-07-22,0.42
zulg_steffisburg_schmassmanne,2017-08-22,0.93
zulg_steffisburg_schmassmanne,2017-09-23,0.12
zulg_steffisburg_schmassmanne,2017-10-24,3.58
zulg_steffisburg_schmassmanne,2017-11-27,0.06
zulg_steffisburg_schmassmanne,2017-12-27,0.24
zulg_steffisburg_schmassmanne,2018-01-24,0.18
zulg_steffisburg_schmassmanne,2018-03-24,0.18
zuerichsee_maennedorf_vanderkaadene,2017-04-09,1.59
zuerichsee_maennedorf_vanderkaadene,2017-05-08,0.85
zuerichsee_maennedorf_vanderkaadene,2017-06-08,4.08
zuerichsee_maennedorf_vanderkaadene,2017-07-10,7.08
zuerichsee_maennedorf_vanderkaadene,2017-08-10,1.93
zuerichsee_maennedorf_vanderkaadene,2017-09-26,3.4
zuerichsee_maennedorf_vanderkaadene,2017-10-26,0.78
zuerichsee_maennedorf_vanderkaadene,2017-11-27,0.63
zuerichsee_maennedorf_vanderkaadene,2017-12-28,3.61
zuerichsee_maennedorf_vanderkaadene,2018-01-26,9.24
zuerichsee_maennedorf_vanderkaadene,2018-02-23,2.4
zuerichsee_maennedorf_vanderkaadene,2018-03-22,2.33
sorne_birse_wwfjura,2017-04-09,2.3
sorne_birse_wwfjura,2017-05-09,1.74
sorne_birse_wwfjura,2017-06-27,5.81
